reporting_period,registrant_cik,registrant_name,series_name,series_id,series_category_name,class_name,class_id,investment_advisor,class_ticker_symbol,Subadvisor_name
31-Oct-17,1094885,STATE STREET MASTER FUNDS,State Street Treasury Money Market Portfolio,S000019933,Exempt Government,State Street Treasury Money Market Portfolio,C000055942,"SSGA Funds Management, Inc.",,
31-Oct-17,1094885,STATE STREET MASTER FUNDS,State Street Treasury Plus Money Market Portfolio,S000019934,Exempt Government,State Street Treasury Plus Money Market Portfolio,C000055943,"SSGA Funds Management, Inc.",,
31-Oct-17,1040612,MADISON FUNDS,Madison Government Money Market Fund,S000020645,Exempt Government,Government Money Market Fund Class A,C000057634,"Madison Asset Management, LLC",mfaxx,
31-Oct-17,1040612,MADISON FUNDS,Madison Government Money Market Fund,S000020645,Exempt Government,Government Money Market Fund Class B,C000057635,"Madison Asset Management, LLC",mfbxx,
31-Oct-17,1423799,Dreyfus Institutional Reserves Funds,Dreyfus Institutional Preferred Government Money Market Fund,S000021488,Exempt Government,Institutional Shares,C000061453,The Dreyfus Corporation,DSVXX,
31-Oct-17,1423799,Dreyfus Institutional Reserves Funds,Dreyfus Institutional Preferred Government Money Market Fund,S000021488,Exempt Government,Hamilton Shares,C000061454,The Dreyfus Corporation,DSHXX,
31-Oct-17,1423799,Dreyfus Institutional Reserves Funds,Dreyfus Institutional Preferred Government Money Market Fund,S000021488,Exempt Government,Premier Shares,C000061456,The Dreyfus Corporation,DERXX,
31-Oct-17,1423799,Dreyfus Institutional Reserves Funds,Dreyfus Institutional Treasury and Agency Cash Advantage Fund,S000021490,Exempt Government,Institutional Shares,C000061462,Dreyfus Corporation,DNSXX,
31-Oct-17,1423799,Dreyfus Institutional Reserves Funds,Dreyfus Institutional Treasury and Agency Cash Advantage Fund,S000021490,Exempt Government,Hamilton Shares,C000061463,Dreyfus Corporation,DHLXX,
31-Oct-17,1423799,Dreyfus Institutional Reserves Funds,Dreyfus Institutional Treasury and Agency Cash Advantage Fund,S000021490,Exempt Government,Premier Shares,C000061465,Dreyfus Corporation,DRRXX,
31-Oct-17,1423799,Dreyfus Institutional Reserves Funds,Dreyfus Institutional Treasury Securities Cash Advantage Fund,S000021491,Treasury,Institutional Shares,C000061467,Dreyfus Corporation,DUPXX,
31-Oct-17,1423799,Dreyfus Institutional Reserves Funds,Dreyfus Institutional Treasury Securities Cash Advantage Fund,S000021491,Treasury,Hamilton Shares,C000061468,Dreyfus Corporation,DHMXX,
